Label,0,1,2,3,4,5,6,7,8,9,
0m,101356.23,100159.29,98974.35,97801.21,96639.7,95484.75,94349.04,93220.27,92102.59,90995.84,
1000m,89899.73,88814.41,87739.78,86674.88,85621.56,84578.06,83544.99,82522.06,81509.9,80507.58,
2000m,79514.58,78532.05,77559.13,76596.4,75643.51,74699.67,73765.59,72840.69,71925.27,71019.85,
3000m,70123.21,69236.04,68357.78,67488.76,66627.9,65775.94,64933.85,64100.54,63275.42,62458.87,
4000m,61650.82,60851.67,60060.49,59277.54,58503.56,57737.53,56979.87,56229.78,55487.76,54753.62,
5000m,54023

0km,101371.98,101376.71,101390.3,101414.19,101447.09,101489.76,101541.76,101603.6,101674.72,101755.91,
100km,101845.99,101945.48,102054.22,102173.59,102301.93,102439.6,102587.12,102744.98,102912.82,103089.51,
200km,103276.18,103472.88,103679.37,103895.46,104122.18,104358.77,104605.07,104861.93,105128.82,105405.26,
300km,105692.43

Label,-30,-20,-10,0,10,20,30,
AOA,15000,16000,17000,18000,19000,20000,21000,
AOS,1100,1200,1300,1400,1500,1600,1700,
